                                              Dest      17kW      10kW      64kW      21kW       8kW      11kW      14kW      40kW      16kW      13kW       6kW      20kW
                             Days Inn - San Simeon         0         0         0         0         1         0         0         0         0         0         0         0
                             Ojai Valley Inn & Spa         0         0         0         0         0         0         0         0         6         0         0         0
     DoubleTree by Hilton Fresno Convention Center         0         0         0         0         2         0         0         0         0         0         0         0
                     Four Seasons Westlake Village         0         0         0         0         0         0         0         0         2         0         0         0
                               Rosewood CordeValle         0         0         0         0         0         0         0         0        14         0         0         0
                              Tamber bey Vineyards         0         0         0         0         0         0         0         0         1         0         0         0
            Courtyard Marriott Palo Alto-Los Altos         0         0         0         0         8         0         0         0         0         0         0         0
                                 Sonoma Jet Center         0         0         0         0         2         0         0         0         0         0         0         0
                        Pechanga Resort and Casino         0         0         0         0         0         0         0         0         3         0         0         0
                                 Hotel Californian         0         4         0         0         0         0         0         0         0         0         0         0
                    Real Goods Solar Living Center         0         0         0         0         2         0         0         0         0         0         0         0
                                   West Sonoma Inn         0         0         0         0         0         0         0         0         2         0         0         0
                            Vines on the Marycrest         0         0         0         0         2         0         0         0         0         0         0         0
                                  Hotel Shangri-La         0         0         0         0         3         0         0         0         0         0         0         0
                      Two Bunch Palms Resort & Spa         0         0         0         0         0         0         0         0         2         0         0         0
        Fairmont Heritage Place Ghirardelli Square         0         0         0         0         0         0         0         0         0         1         0         0
                 Best Western Plus Stevenson Manor         0         0         0         0         0         0         0         0         2         0         0         0
                           Holiday Inn Victorville         0         0         0         0         2         0         0         0         0         0         0         0
                                   Calistoga Ranch         0         0         0         0         2         0         0         0         0         0         0         0
            Greenwood Ridge Vineyards Tasting Room         0         0         0         0         0         0         0         0         1         0         0         0
       Residence Inn by Marriott San Diego Central         0         0         0         0         0         0         0         0         0         1         0         0
                     Cathedral City Public Parking         0         0         0         0         2         0         0         0         0         0         0         0
                                   The Farm Winery         0         0         0         0         2         0         0         0         0         0         0         0
                                    Santa Ynez Inn         0         0         0         0         0         0         0         0         1         0         0         0
                                   Ridge Vineyards         0         0         0         0         0         0         0         0         1         0         0         0
                                    Zialena Winery         0         0         0         0         0         0         0         0         1         0         0         0
                         Indian Wells Resort Hotel         0         0         0         0         0         0         0         0         3         0         0         0
                      Ayres Suites - Mission Viejo         0         0         0         0         0         0         0         0         3         0         0         0
              The Ritz-Carlton Hotel San Francisco         0         0         0         0         1         0         0         0         0         0         0         0
                                Frog's Leap Winery         0         0         0         0         0         0         0         0         2         0         0         0
                    Loews Santa Monica Beach Hotel         0         0         0         0         0         0         0         0         0         4         0         0
                                  Oakville Grocery         0         0         0         0         1         0         0         0         0         0         0         0
                                       W San Diego         0         0         0         0         2         0         0         0         0         0         0         0
                         The Lodge at Torrey Pines         0         0         0         0         2         0         0         0         0         0         0         0
                                 Sorensen's Resort         0         0         0         0         0         0         0         0         1         0         0         0
                     Best Western Plus Hilltop Inn         0         0         0         0         0         0         0         0         2         0         0         0
                                 Madrona Vineyards         0         0         0         0         0         0         0         0         2         0         0         0
                           Jericho Canyon Vineyard         0         0         0         0         0         0         0         0         2         0         0         0
                        Karmere Vineyards & Winery         0         0         0         0         0         0         0         0         2         0         0         0
                                  Cedar Glen Lodge         0         0         0         0         0         0         0         0         1         0         0         0
                                          43 Ranch         0         0         0         0         0         0         0         0         3         0         0         0
                        Allegretto Vineyard Resort         0         0         0         0         0         0         0         0         0         0         2         0
                                 Bear Valley Lodge         0         0         0         0         0         0         0         0         2         0         0         0
                                  Old World Winery         0         0         0         0         1         0         0         0         0         0         0         0
                        Best Western Beachside Inn         0         0         0         0         1         0         0         0         0         0         0         0
                        The Oaks Hotel Paso Robles         0         0         0         0         0         0         0         0         6         0         0         0
                              Viceroy Santa Monica         0         0         0         0         0         0         0         0         3         0         0         0
                          Hilton San Diego/Del Mar         0         0         0         0         2         0         0         0         0         0         0         0
                 Dr Wilkinson's Hot Springs Resort         0         1         0         0         0         0         0         0         0         0         0         0
                      Renaissance Long Beach Hotel         0         0         0         0         0         0         0         0         0         0         2         0
                                   TE Connectivity         0         0         0         0         2         0         0         0         0         0         0         0
             Ayres Hotel Manhattan Beach/Hawthorne         0         0         0         0         0         0         0         0         2         0         0         0
            Embassy Suites La Quinta - Hotel & Spa         0         0         0         0         0         0         0         0         2         0         0         0
                        Brecon Estate Tasting Room         0         0         0         0         2         0         0         0         0         0         0         0
                           Pismo Lighthouse Suites         0         0         0         0         0         0         0         0         1         0         0         0
                      Holiday Inn Express San Jose         0         0         0         0         0         0         0         0         1         0         0         0
                                          Giornata         0         0         0         0         0         0         0         0         2         0         0         0
                   Courtyard Los Angeles L.A. Live         0         1         0         0         0         0         0         0         0         0         0         0
                             Lambert Bridge Winery         0         0         0         0         1         0         0         0         0         0         0         0
              LangeTwins Family Winery & Vineyards         0         0         0         0         0         0         0         0         3         0         0         0
                                 L'Auberge Del Mar         0         0         0         0         3         0         0         0         0         0         0         0
                           Bob's Well Bread Bakery         0         0         0         0         1         0         0         0         0         0         0         0
                       Candlelight Inn Napa Valley         0         0         0         0         0         0         0         0         1         0         0         0
                          Half Moon Bay Distillery         0         0         0         0         1         0         0         0         0         0         0         0
