                   Result             SS(Now)         SS(Comming Soon)             DS               Total
                  Alabama                   7                   3                  25                  35
                  Arizona                  14                   7                  69                  90
                 Arkansas                   1                   6                  24                  31
               California                  63                 109                 622                 794
                 Colorado                  10                  11                  82                 103
              Connecticut                   9                   9                  32                  50
                 Delaware                   2                   1                   5                   8
     District of Columbia                   0                   4                  22                  26
                  Florida                  20                  28                 260                 308
                  Georgia                   7                   8                  95                 110
                   Hawaii                   0                   3                   7                  10
                    Idaho                   5                   2                  19                  26
                 Illinois                  16                   4                  57                  77
                  Indiana                   6                   5                  29                  40
                     Iowa                   5                   4                  12                  21
                   Kansas                   6                   0                   8                  14
              Kansas City                   0                   2                   0                   2
                 Kentucky                   5                   0                  23                  28
                Louisiana                   6                   1                  23                  30
                    Maine                   3                   5                  50                  58
                 Maryland                   9                   8                  38                  55
            Massachusetts                   9                  16                  41                  66
                 Michigan                  12                   9                  34                  55
                Minnesota                   9                   5                  29                  43
              Mississippi                   4                   2                  21                  27
                 Missouri                   8                   5                  39                  52
                  Montana                   8                   7                  14                  29
                 Nebraska                   5                   0                   3                   8
                   Nevada                  13                   3                  48                  64
            New Hampshire                   5                   3                  25                  33
               New Jersey                   8                  15                  35                  58
               New Mexico                   9                   4                  19                  32
                 New York                  20                  32                 311                 363
           North Carolina                  10                   3                  77                  90
             North Dakota                   0                   6                   1                   7
                     Ohio                  10                   7                  62                  79
                 Oklahoma                   5                   1                   8                  14
                   Oregon                  13                  13                  78                 104
             Pennsylvania                  15                   6                  70                  91
             Rhode Island                   1                   1                   3                   5
           South Carolina                   5                   1                  39                  45
             South Dakota                   6                   2                  13                  21
                Tennessee                   8                   2                  37                  47
                    Texas                  31                  24                 207                 262
                     Utah                  11                   2                  33                  46
                  Vermont                   3                   2                  29                  34
                 Virginia                  11                   5                 102                 118
               Washington                  10                  18                  86                 114
             West Virgina                   4                   2                   0                   6
            West Virginia                   2                   0                  29                  31
                Wisconsin                  11                   3                  39                  53
                  Wyoming                   9                   4                  11                  24
                   Alaska                   0                   0                   1                   1
         British Columbia                   0                   0                   1                   1
                 Tennesse                   0                   0                   1                   1
